affiliations,age,birthday,blood_type,bounty,devil_fruit_name,devil_fruit_type,height,name,occupations,origin,status,weight
,Over 1000,December 18th,,,,,Over 35 km (21.75 miles),Zunesha,,Grand Line,Alive,
Ally of the ,,,,,,,,Zukka,Pirate,,Alive,
Marines,,,,,,,,Burr,Marine,,Alive,
New Fish-Man Pirates,30,November 11th,X,,,,"325 cm (10'8"")",Zeo,Pirate,Grand Line,Alive,
Beasts Pirates,,,,,,,,Zanki,,,Alive,
Franky Family,33 (debut),March 8th,S,,,,"227 cm (7'5"")",Zambai,Dismantler; ,Grand Line,Alive,
Baratie,65 (debut),April 2nd,XF,,,,"189 cm (6'2½"")",Zeff,Head Chef of ,East Blue,Alive,
New Spiders Cafe,26 (debut),July 30th,X,,Spike-Spike Fruit,Paramecia,"187 cm (6'2"")",Ms. Doublefinger/Paula,Spiders Cafe Owner,Grand Line,Alive,
Big Mom Pirates,,June 26th,,,,,"232 cm (7'7"") (as a ",Zeus,Partner,Grand Line,Alive,
,,,,,,,,Zabo,,,Deceased,
Tulip Pirates,,,,,,,,Eureka,Pirate,,Alive,
Ohara Archaeologists,,,,,,,,Zayde,Archaeologist,,Deceased,
Nox Pirates,,,,,,,,Zepo,Pirate,,Deceased,
Whitebeard Pirates,,,,,,,,Zodia,Pirate,,Alive,
Shandia,,,,,,,,Yotsubane,Shandia,,Alive,
Roger Pirates,,,,,,,,Yuey,Pirate,,Unknown,
Johnny,24 (debut),November 10th,F,,,,"185 cm (6'1"")",Yosaku,Bounty Hunter,East Blue,Alive,
,,,,,,,,Yoshimoto,Restaurant owner,,Alive,
Mokomo Dukedom,,,,,,,,Yomo,Musketeer,,Alive,
,,,,,,,,N/A,Doctor,,Alive,
Beasts Pirates,24,August 8th,S,,,,"180 cm (5'10"")",Yazaemon,Ninja,Wano Country,Alive,
Tom's Workers,,,,,,,,Yokozuna,,,Alive,
Rumbar Pirates,,April 9th,,,,,,Yorki,Pirate,,Unknown,
,,,,,,,,Yatappe,Yakuza,,Alive,
Marines,,,,,,,"220 cm (7'3"")",Yarisugi,Commodore,,Alive,
Red Hair Pirates,35 (debut);,August 2nd,S,,,,"183 cm (6'0"")",Yasopp,Pirate,East Blue,Alive,
Roger Pirates,,,,,,,,Yamon,Pirate,,Unknown,
,,July 19th,,,,,,Yu,,,Alive,
,,December 17th,,,,,,Yuki,,Grand Line,Unknown,
,,,,,,,,N/A,,,Alive,
,,,,,,,,York,,,Alive,
Marumieta,,,,,,,,Yamenahare,Manservant,,Alive,
Marines,,April 5th,,,,,,Yamakaji,Vice Admiral,,Alive,
Foosha Village,,February 28th,,,,,,Woop Slap,Mayor,,Alive,
Ninja-Pirate-Mink-Samurai Alliance,28,November 3rd,F,,"Dog-Dog Fruit, Model: Okuchi-no-Makami",Mythical Zoan,"263 cm (8'8"")",Yamato,,Unknown,Alive,
Enel,43 (debut),October 3rd,F,,,,366 cm (12'),Yama,Commander of the ,Sky Islands,Alive,
Tontatta Tribe,27,,,,,,,Wicka,Scout,,Alive,
Shandia,22 (debut),August 18th,X,,,,183 cm (6'0),Wyper (4Kids,Shandia,Sky Islands,Alive,
Whitebeard Pirates,Over 30,October 31st,,,,,,Whitey Bay,Pirate,,Alive,
Marines,31 (debut),October 24th,X,,"Dragon-Dragon Fruit, Model: Allosaurus",Ancient Zoan,"233 cm (7'7½"") (debut, after timeskip)",X. Drake,Captain of ,North Blue,Unknown,
Kid Pirates,,July 18th,,,,,,Wire,Pirate,South Blue,Alive,
,,,,,,,,N/A,,,Alive,
Levely,,,,,,,,Wheel,Prince,,Alive,
Evil Black Drum Kingdom,27 (debut),August 9th,X,,Munch-Munch Fruit,Paramecia,"207 cm (6'9"")",Wapol,King,Grand Line,Alive,
,,,,,,,,Wellington,Pirate,,Unknown,
Shandia,,,,,,,,Warashi,Shandia,,Alive,
Beasts Pirates,38,March 15th,F,,"Cat-Cat Fruit, Saber-Toothed Tiger Model",Ancient Zoan,"336 cm (11'0¼"")",Who's-Who,Shinuchi,North Blue,Alive,
Beasts Pirates,,,,,Pug ,Artificial Zoan,,Wanyudo,Gifter,,Alive,
CP7,26 (debut),September 4th,F,,,,"173 cm (5'8"")",Wanze,Cipher Pol,West Blue,Alive,
Mokomo Dukedom,28,November 1st,F,,,,"181 cm (5'11"")",Wanda,Musketeer;,Grand Line,Alive,
Wanda,,,,,,,,Warney,,,Alive,
Sun Pirates,25,February 9th (Pufferfish Day),F,,,,"80 m (262'5"")",Wadatsumi,Pirate,Grand Line,Alive,
Ally of the ,,,,,,,,Wallem,Pirate,,Alive,
,,,,,,,,Scientist,,,,
Spade Pirates,,,,,,,,Wallace,Pirate,,Alive,
Whitebeard Pirates,,,,,,,,Vitan,Pirate,,Alive,
,,,,,,,,N/A,Restaurant Owner,,Alive,
Whitebeard Pirates,45 (debut),February 5th,X,,,,"328 cm (10'9"")",Vista,5th Division ,North Blue,Alive,
Riku Family,29,April 30th,X,,Glare-Glare Fruit,Paramecia,"178 cm (5'10"")",Viola,Princess,Grand Line,Alive,
Vinsmoke Family,21,March 2nd,S (RH-),,,,"185 cm (6'1½"")",Vinsmoke Niji,Prince,North Blue,Alive,
Fire Tank Pirates,36,October 21st,S,,,,"242 cm (7'11"")",Vito,Pirate,West Blue,Alive,
Vinsmoke Family,21,March 2nd,S (RH-),,,,"194 cm (6'4½"")",Vinsmoke Yonji,Prince,North Blue,Alive,
Vinsmoke Family,24,November 30th,F,,,,"173 cm (5'8½"")",Vinsmoke Reiju,Princess,North Blue,Alive,
Vinsmoke Family,,July 9th,,,,,,Vinsmoke Sora,Queen,,Deceased,
Vinsmoke Family,21,March 2nd,S (RH-),,,,"186 cm (6'1½"")",Vinsmoke Ichiji,Prince,North Blue,Alive,
,,,,,,,,Broth Splatterina,,,Deceased,
Donquixote Pirates,,July 5th,X,,,,"247 cm (8'1"")",Vergo,Pirate,North Blue,Deceased,
Thriller Bark Pirates,,May 4th,F,,,,"188 cm (6'2"")",Victoria Cindry,Actress (in life);,West Blue,Deceased,
Vinsmoke Family,56,May 12th,S,,,,"272 cm (8'11"")",Vinsmoke Judge,King,North Blue,Alive,
Blackbeard Pirates,25 (debut),October 5th,X,,Warp-Warp Fruit,Paramecia,"340 cm (11'2"")",Van Augur (Viz),Pirate,East Blue,Alive,
Flying Dutchman,,,,,,,,Vander Decken,Pirate,,Deceased,
Blackbeard Pirates,36 (debut),August 5th,X,,,,"573 cm (18'10"")",Vasco Shot,Pirate,South Blue,Alive,
Red Hair Pirates,21,October 1st,XF,,Sing-Sing Fruit,Paramecia,169 cm (5'6½”),Uta,Singer;,,Unknown,
Marines,,September 10th,,,Berry-Berry Fruit,Paramecia,,Berry Good,Marine Captain,,Alive,
Flying Pirates,35,August 22nd,XF,,Mark-Mark Fruit,Paramecia,"352 cm (11'7"")",Vander Decken IX,Pirate,Grand Line,Alive,
,,,,,,,,Uzu,,,Alive,
Straw Hat Pirates,17 (debut),April 1st (April Fool's Day),S,,,,"174 cm (5'8½"") (debut)",Usopp,Sniper,East Blue,Alive,
,,,,,,,,Uzuki Tempura,Samurai,,Deceased,
Beasts Pirates,,,,,,,,N/A,Waiter,,Alive,
Fallen Monk Pirates,45 (debut),August 1st,S,,,,"388 cm (12'9"") (debut, after timeskip)",Urouge,Pirate,,Alive,
,,,,,,,,Urashima,Sumo Wrestler,,Alive,
Animals of the ,,,,,,,,N/A,,,Alive,
Newkama Land,,,,,,,,Bunkov,"Dancer, Prisoner of the Great Prison (former)",,Alive,
Thriller Bark Pirates,,,,,,,,Unigaro,Wild Zombie,,Deceased,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
Heart Pirates,,,,,,,,Uni,Pirate,,Alive,
Easter egg,,,,,,,,Yurusumaji Mask,Pandaman,,Alive,
Beasts Pirates,22,January 4th,XF,,"Dragon-Dragon Fruit, Pachycephalosaurus Model",Ancient Zoan,"173 cm (5'8"")",Ulti,Shinuchi,Grand Line,Alive,
Rain Dinners,,,,,,,,Ultra King,Assistant-Manager,,Alive,
Underworld,,September 23rd,,,,,,Umit,Shipping Magnate,,Alive,
Corrida Colosseum,,April 21st,,,,,,"Moocy (VIZ Media, FUNimation dub);",Gladiator,,Alive,
,,,,,,,,Ook-Ook,,,Alive,
Niho Navy,,,,,,,,Ooklicia,,,Alive,
,,,,,,,,N/A,God,Skypiea,Deceased,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
,55,September 15,F,,,,"191 cm (6'3"")",Otsuru,Tea House Owner;,,Alive,
,,,,,,,,N/A,Machi-bugyō,,Alive,
Fake Straw Hat Crew,45,October 29th,X,,,,"258 cm (8'5"")",Turk,Pirate,East Blue,Unknown,
Marines,74 (debut),March 26th,X,,Wash-Wash Fruit,Paramecia,204 cm (6’8”),Tsuru,Vice Admiral,North Blue,Alive,
Iceburg,,October 20th,,,,,,Tyrannosaurus,Iceburg's pet,,Alive,
Newkama Land,,,,,,,,Antlerkov,"Dancer, Prisoner of the Great Prison (former)",,Alive,
Nico Robin,,,,,,,,N/A,Geisha Master,,Alive,
,,,,,,,,Tsunagoro,Yakuza,,Alive,
Moon,,August 15th,,,,,,Tsukimi,Scientist,,Deceased,
Marines,,February 17th,,,,,,Carelesso,Marine Seaman Recruit,,Alive,
,,,,,,,,Lammy,,,Deceased,
Mokomo Dukedom,,,,,,,,Tristan,Nurse,,Alive,
Heart Pirates,24 (debut),October 6th,F,,Op-Op Fruit,Paramecia,"191 cm (6'3½"") (debut, after timeskip)",Trafalgar D. Water Law,Pirate Captain,North Blue,Alive,
Levely,,,,,,,,N/A,Prince,,Alive,
,,,,,,,,N/A,Magistrate,,Unknown,
Straw Hat Pirates,15 (debut),December 24th,X,,Human-Human Fruit,Zoan,"90 cm (2'11½"") (hybrid form)",Tony Tony Chopper,Doctor,Grand Line,Alive,
Donquixote Pirates,49,March 18th,F,,Stick-Stick Fruit (Viz),Paramecia,"349 cm (11'5"")",Trebol,Pirate,North Blue,Alive,
Kozuki Hiyori,6,October 5th,F,,,,"89 cm (2'11"")",Toko,Kamuro,,Alive,
Koza,,June 17th,,,,,,"Toto (FUNimation),",Yuba villager,,Alive,
Blackbeard Pirates,,,,,,,,N/A,Pirate,,Alive,
Marines,,,,,,,,Tokikake,Vice Admiral,,Alive,
Nomads,61 (debut),October 2nd,F,,,,"110 cm (3'10"")",Tonjit,"Nomad, Stilt walker",Grand Line,Alive,
Tom's Workers,,March 16th,F,,,,"296 cm (9'8"")",Tom,Shipwright,Grand Line,Deceased,
Easter egg,38 (debut),,,,,,,Tomato Gang,Debt Collector,,Alive,
Neutral civilian,,,,,,,,Togare,,,Alive,
,,,,,,,,Tokijiro,,,Alive,
Whitebeard Pirates,,March 24th,,,,,,Thatch,4th Division ,North Blue,Deceased,
,,,,,,,,Teru,Carpenter,East Blue,Alive,
Kamabakka Kingdom,,June 19th,,,,,,Tibbany,Okama,,Alive,
Ilisia Kingdom,,July 27th,,,,,,Thalassa Lucas,King,,Unknown,
Revolutionary Army,,,,,,,,Terry Gilteo,Revolutionary Army Intelligence Controller,,Alive,
Galley-La Company,33 (debut),January 6th,S,,,,"255 cm (8'4"")",Tilestone,Dock One Foreman,Grand Line,Alive,
Ninja-Pirate-Mink-Samurai Alliance,Over 41,,,,,,,N/A,Prisoner (former),,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Arabasta,,September 25th,,,,,,Terracotta,Royal Head ,,Alive,
Marines,,,,,,,,Tensei,Director of Marine Criminal Investigative Service,,Alive,
,,,,,,,,Needa Hand,Doctor,,Alive,
Karakuri Island,,October 16th,,,,,,Taroimo,Cyborg,,Alive,
Beasts Pirates,,,,,White Snake ,Artificial Zoan,,Tenjo-Sagari,Gifter,,Alive,
,,,,,,,,Terry,Bartender,,Alive,
Whitebeard Pirates,,,,,,,,N/A,Nurse,,Alive,
Marines,21 (debut),October 6th,S,,,,"170 cm (5'7"")",Tashigi,Captain,East Blue,Alive,
Roger Pirates,,,,,,,,Taro,Pirate,,Unknown,
Thriller Bark Pirates,,,,,,,,"Taralan (Viz Manga), Tararan (Funimation dub)",General Zombie,,Deceased,
Riku Family,,November 28th,,,,,,Tank Lepant (FUNimation),Army Commander (Viz: Military Captain),,Alive,
Macro Pirates,,,,,,,,Tansui,Pirate,,Alive,
Usopp Pirates,9 (debut) ,April 10th,S,,,,"124 cm (4'1"")",Onion,Pretend ,,Alive,
Big Mom Pirates,46,May 14th,XF,,Egg-Egg Fruit,Zoan,"301 cm (9'10"")",Tamago,Combatant,Grand Line,Alive,
Franky Family,,,,,,,,Tamagon,Dismantler; ,,Alive,
Oide,,,,,,,,Tama,Pet,,Alive,
Arlong Pirates,,August 21st,,,,,,Take,Pirate,Grand Line,Alive,
,8,March 3rd,F,,Millet-Millet Fruit,Paramecia,"108 cm (3'6½"")",Otama,Kunoichi in training,,Alive,
Komurasaki,,,,,,,,N/A,Kamuro,,Alive,
Stool Restaurant,,June 17th,,,,,,"Tamachibi (Funimation),",,,Alive,
,,December 9th,,,,,,Taco,King,,Alive,
Kozuki Family,,,,,,,,N/A,,,Alive,
Straw Hat Pirates,120,June 9th,S,,,,,Surume,Pet,North Blue,Alive,
Marines,51 (debut),September 10th,X,,,,"200 cm (6'6¾"""")",T-Bone,Marine Rear Admiral,Grand Line,Alive,
Kuja,,January 14th,,,,,,Sweetpea,Warrior (Former);,Calm Belt,Alive,
Roger Pirates,,,,,,,,Sambel,Pirate,,Unknown,
,,,,,,,,Loki Clownin,Impel Down Guard,,Alive,
Beautiful Pirates,40,January 30th,S,,,,"240 cm (7'10½"")",Suleiman,Pirate,South Blue,Alive,
Donquixote Pirates,22,October 22nd,XF,,Hobby-Hobby Fruit,Paramecia,"110 cm (3'7½"")",Sugar,Pirate,North Blue,Alive,
Kyoshiro Family,,,,,,,,Suke,,,Alive,
CP0,Secret,April 24th,S,,,,"179 cm (5'10"")",Stussy,Cipher Pol,Grand Line,Alive,
Fujin,,,,,,,,N/A,,,Alive,
Blackbeard Pirates,,April 16th,,,"Horse-Horse Fruit, Pegasus Model",Mythical Zoan,,"Stronger (Funimation, Viz);",Doc Q's horse; ,,Alive,
Skypiea,,September 24th,,,,,,Su,Pet,,Alive,
Big Mom Pirates,92,April 27th,S,,Cook-Cook Fruit,Paramecia,"140 cm (4'7"")",Streusen,Executive Chef,Grand Line,Alive,
Water 7,,,,,,,,Staybe,Station Manager,,Alive,
Marines,,January 5th,,,,,,Strawberry,Vice Admiral,,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Goa Kingdom,8 (debut),March 12th,S,,,,"180 cm (5'11"")",Stelly,King,East Blue,Alive,
Marines,,,,,,,,Stainless,Vice Admiral,,Unknown,
New Giant Warrior Pirates,,May 27th,,,,,,Stansen,Pirate,,Alive,
Whitebeard Pirates,,,,,,,,Stephen,Pet,,Alive,
Marines,,September 28th,,,,,,Stalker,Marine ,,Alive,
Maelstrom Spider Pirates,50 (debut);,September 6th,F,,,,"228 cm (7'5"")",Squard,Pirate,Grand Line,Alive,
Thriller Bark Victim's Association,,September 15th,,,,,,Spoil,Chairman of ,,Alive,
World Government,,,,,,,,Sphinx,Level 2 Guardian,,Alive,
,,January 18th,S (RH-),,,,,Splash and Splatta,Pirates,,Alive,
Roger Pirates,,,,,,,,Spencer,Pirate,,Unknown,
Whitebeard Pirates,,April 6th,,,,,,Speed Jil,14th Division ,East Blue,Alive,
CP9,64 (debut),January 19th,XF,,,,"275 cm (9'0"")",Spandine,CP9 Chief (former),Grand Line,Alive,
,,,,,Cocoa Weed,,,,,,,
,,,,,,,,Spector,Hotel owner,,Alive,
CP0,39 (debut),March 11th,XF,,,,"192 cm (6'3½"")",Spandam,CP0,Grand Line,Alive,
Corrida Colosseum,,,,,,,,Spartan,Gladiator,,Alive,
Beasts Pirates,24,December 11th,X,,Horse ,Artificial Zoan,"298 cm (9'3"")",Speed,Shinuchi,Wano Country,Alive,
Automata,,March 21st,,,,,,Spacey,First Lieutenant,,Alive,
,,,,,,,,Sora,,,Alive,
Helmeppo,,November 11th,,,,,,Solo,Pet,,Deceased,
Mermaid Cafe,,,,,,,,Sola,Dancer,,Alive,
Foxy Pirates,,,,,,,,Sonie,Pirate,,Alive,
Marines,34 (debut),March 14th,XF,,"Smoke-Smoke Fruit (4Kids); Plume-Plume Fruit (VIZ, Funimation); Steam-Steam Fruit (",Logia,"209 cm (6'10"")","Smoker (VIZ, Funimation),",Vice Admiral,Grand Line,Alive,
,,,,,,,,Osome,Geisha,,Alive,
Beasts Pirates,,,,,Monkey ,Artificial ,,Solitaire,Shinuchi,,Alive,
Franky Family,,August 6th,,,,,,"Sodomu (VIZ),",Transportation,,Alive,
Caesar Clown,,,,,,,,Smoothy (Viz);,,,Alive,
Beasts Pirates,,,,,Snake ,Artificial Zoan,,N/A,Gifter,,Alive,
Caesar Clown,,July 18th,,,"Sala-Sala Fruit, Model: Axolotl",Zoan,,Smiley,Pet,,Deceased,
Ally of the ,,,,,,,,N/A,Pirate,,Alive,
Spade Pirates,,,,,,,,Skull,Pirate,,Alive,
,,,,,,,,Synd,,,Alive,
,,,,,,,,Rocks Pirates,,,,
Roger Pirates,76 (debut),May 13th,XF,,,,"188 cm (6'2"")",Silvers Rayleigh,Coating Mechanic,,Alive,
Marines,,June 5th,,,,,,Sicily,Rear Admiral,South Blue,Alive,
Mermaid Cafe,29,September 9th,XF,,,,"520 cm (17'1"")",Sharley,Proprietor of the Mermaid Cafe;,Grand Line,Alive,
Marines,,,,,Rust-Rust Fruit,Paramecia,,Shu,Marine Captain,,Alive,
God's Army,31 (debut),September 20th,S,,,,"191 cm (6'3"")",Shura,Priest,Sky Islands,Alive,
Blackbeard Pirates,42 (debut),June 11th,X,,Clear-Clear Fruit,Paramecia,"340 cm (11'2"")",Shiryu,Pirate,Grand Line,Alive,
Mokomo Dukedom,34,April 4th,XF,,,,"196 cm (6'5"")",Shishilian,Captain of the Musketeers,Grand Line,Alive,
Saruyama Alliance,25,May 8th,X,,,,"351 cm (11'6"")",Shojoe (4Kids);,Pirate,South Blue,Alive,
Neptune Family,16,April 4th,X,,,,"1187 cm (38'11¼"")",Shirahoshi,Princess,Grand Line,Alive,
Kozuki Family,,,,,,,,Shinosuke,Ninja,,Alive,
Marines,,,,,,,,Shine,Chief Petty Officer,,Alive,
Kuja Tribe,,,,,,,,Shion,Warrior,Calm Belt,Alive,
,,,,,,,,Shimotsuki Ushimaru,Daimyo of Ringo,,Deceased,
,,,,,,,,Stella Live,Dancer (former),,Alive,
Kozuki Family,49,October 23rd,F,,Ripe-Ripe Enticement Jutsu (VIZ and Funimation);,Paramecia,"180 cm (5'11"")",Shinobu,Kunoichi,Grand Line,Alive,
,,,,,,,,Staya Live,,,Alive,
,,April 2nd,F,,,,"155 cm (5'1"")",Shimotsuki Yasuie,Taikomochi;,,Deceased,
Thriller Bark Pirates,,November 6th,XF,,,,"179 cm (5'10"")",Shimotsuki Ryuma,General Zombie,Grand Line,Deceased,
,,,,,,,,Shimotsuki Kozaburo,Swordsmith,,Deceased,
Golden Lion Pirates,,March 20th,,,Float-Float Fruit,Paramecia,,Shiki,Pirate Captain,,Unknown,
Marines,,,,,Wheel-Wheel Fruit,Paramecia,,Sharingle,Marine Captain,,Alive,
Nomads,,October 31st,,,,,,Sherry (Viz); Shelly (FUNimation),Pet,,Alive,
Beasts Pirates,24,June 6th,F,,Sheep ,Artificial Zoan,"293 cm  (9'7"")",Sheepshead,Shinuchi,Grand Line,Unknown,
Arlong Pirates,,March 27th,,,,,,Saltgrill,Pirate,Grand Line,Alive,
Red Hair Pirates,27 (debut);,March 9th,XF,,,,"199 cm (6'6½"")",Shanks,Chief,West Blue,Alive,
Shakky's Rip-off Bar,62 (debut),May 8th,X,,,,"186 cm (6'1"")",Shakuyaku,Bartender; ,Calm Belt,Alive,
Black Cat Pirates,21 (debut),April 19th,X,,,,"201 cm (6'7"")",Siam,Pirate,,Alive,
,,,,,,,,Shaka,,,Alive,
Shandia,63 (debut),October 4th,X,,,,"179 cm (5'10"")",Shandia Chief,Chief of Shandia,Sky Islands,Alive,
Torino Kingdom,,November 8th,,,,,,Shamba,,,Alive,
World Government,15 (debut),March 29th,XF,,,,"178 cm (5'10"")",Saint Shalria,World Noble,Red Line,Alive,
Shandia,,July 16th ,,,,,,Seto,,,Deceased,
Marines,32 (debut),March 10th,F,,,,"279 cm (9'1"")",Sentomaru,Marine Officer,Grand Line,Alive,
Donquixote Pirates,46,June 12th (Lover's Day),X,,Swim-Swim Fruit,Paramecia,"244 cm (8'0"")",Señor Pink,Pirate,North Blue,Alive,
Heart Pirates,25 (debut),April 7th,X,,,,,Shachi,Pirate,North Blue,Alive,
,,,,,,,,N/A,Master of Tea Ceremonies; ,,Alive,
,,,,,,,,N/A,Dyer; Instructor,,Alive,
Marines,77 (debut),May 9th,F,,"Human-Human Fruit, Model: Buddha",Mythical Zoan,"278 cm (9'1"")",Sengoku,Inspector General;,South Blue,Alive,
Mermaid Cafe,,,,,,,,Seira,Dancer,,Alive,
Levely,,,,,,,,Seki,King,,Unknown,
Space Pirates,,,,,,,,Seamars,Captain,,Alive,
On Air Pirates,29 (debut),March 19th,XF,,Tone-Tone Fruit,Paramecia,"256 cm (8'5½"") (debut, after timeskip)",Scratchmen Apoo,Pirate,Grand Line,Alive,
Roger Pirates,,,,,,,,Seagull Ganz Nozudon,Pirate,,Unknown,
Caesar Clown,25,December 11th,S (RH-),,,,"4250 cm (139'5"")",Yeti Cool Brothers,Mercenaries,Grand Line,Unknown,
Roger Pirates,,,,,,,,Scopper Gaban,Pirate,,Unknown,
Riku Family,,October 28th,,,,,,Scarlet,Princess,,Deceased,
Beasts Pirates,,,,,,,,Scotch,Pirate,,Unknown,
Franky Family,,,,,,,,Schollzo,Dismantler; ,,Alive,
God's Army,25 (debut),March 10th,S,,,,"179 cm (5'10"")",Satori,Priest,Sky Islands,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Beasts Pirates,34,February 3rd,XF,,"Dragon-Dragon Fruit, Triceratops Model",Ancient Zoan,"318 cm (10'5"")",Sasaki,Shinuchi,Grand Line,Alive,
Beasts Pirates,45,March 12th,F,,,,"378 cm (12'5"")",Sarutobi,Ninja,Wano Country,Alive,
Bellamy Pirates,25 (debut),July 12th,F,,,,"228 cm (7'6"")",Sarquiss,Pirate,,Unknown,
Gaimon,,,,,,,,Sarfunkel,,,Alive,
Goa Kingdom,,July 31st,,,,,,Sally Isntoinette,Queen,,Alive,
Beasts Pirates,,,,,,Artificial Zoan,,Sarahebi-sensei,Gifter,,Alive,
Rosward Family,,March 28th,,,,,,Salou (VIZ); Saruu (Funimation),Pet,,Alive,
Komurasaki,,,,,,,,Sandayu,Bodyguard,,Alive,
Straw Hat Pirates,19 (debut),March 2nd,S (RH-),,,,"177 cm (5'9¾"") (debut)",Sanji,Cook,North Blue,Alive,
Blackbeard Pirates,97 (debut),March 2nd,S,,,,"180 m (590'6"") (maximum)",San Juan Wolf,Pirate,West Blue,Alive,
Current Unknown; ,,,,,,,,Thanklin,"Thief, Manager (former)",,Alive,
,,March 22nd,,,,,,Sapee,Fishmonger,,Alive,
Kuja,,March 6th,,,,,,Salome,Snake Weapon,Calm Belt,Alive,
,,March 8th,,,,,,Samurai Batts,,,Alive,
,,,,,,,,N/A,,,Unknown,
Impel Down,16 (debut),June 8th,F,,,,"218 cm (7'1"") (after timeskip)",Saldeath,Chief Guard,Grand Line,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Easter Egg,,October 21st,,,,,,Sam,,East Blue,Alive,
Happo Navy,28,August 13th,F,,,,"242 cm (7'11"")",Sai,Captain,West Blue,Alive,
Marines,53 (debut);,August 16th,F,,Magma-Magma Fruit,Logia,"306 cm (10'2½"")",Sakazuki,Fleet Admiral,North Blue,Alive,
Impel Down,21 (debut),March 5,S,,,,"183 cm (6'0"")",Sadie,Chief Guard,Grand Line,Alive,
Revolutionary Army,"10 (Flashback, debut)",March 20th,X,,Flame-Flame Fruit (,Logia,"100 cm (3'3½”) (Flashback, debut)",Sabo,Chief of ,East Blue,Unknown,
Seraphim,,,Green Blood,,Love-Love Fruit,Artificial,,S-Snake,,,Alive,
Seraphim,,,Green Blood,,Paw-Paw Fruit,Artificial,,S-Bear,,,Alive,
